A  ,Element,Z  ,N  ,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),M Gamma   ,B_exp (W.u.),B_exp Unc (W.u.),,
31,P      ,15,16,6931.4,2,5/2+              ,28 FS LT                 ,4697.2,        ,M1+E2     ,0.64,                ,,
31,P      ,15,16,4260.4,1,3/2+              ,10.4 FS 3.5              ,4260.4,        ,M1+E2     ,0.7,0.3,,
31,P      ,15,16,4634.2,0.8,7/2+              ,68 FS 10                 ,2399.7,0.5,M1+E2     ,0.76,0.21,,
31,P      ,15,16,4592.5,1,3/2+              ,12 FS 4                  ,4592.5,        ,[E2]      ,1,0.4,          ,                
31,P      ,15,16,4190.9,1,5/2+              ,4.9 FS 2.1               ,2924.7,0.6,M1+E2     ,1,1,,
31,P      ,15,16,5342.9,1.5,9/2+              ,36 FS 8                  ,3109.4,0.6,E2        ,1.4,0.4,          ,                
31,P      ,15,16,6078.1,1.8,9/2+              ,22 FS 10                 ,2783.6,        ,[E2]      ,1.5,1.2,          ,                
31,P      ,15,16,3506.1,0.6,3/2+              ,8.8 FS 1.3               ,3506.1,        ,M1+E2     ,1.6,0.4,,
31,P      ,15,16,6078.1,1.8,9/2+              ,22 FS 10                 ,1444.2,0.3,M1+E2     ,2.2,+3-2.2          ,,
31,P      ,15,16,4783.4,1.1,5/2+              ,6.9 FS 2.8               ,4783.4,        ,E2        ,2.4,1,          ,                
31,P      ,15,16,5342.9,1.5,9/2+              ,36 FS 8                  ,2048.3,0.4,E2        ,2.9,1,          ,                
31,P      ,15,16,5116,1.5,5/2+              ,10.4 FS 3.5              ,2882,        ,M1+E2     ,3,+4-3            ,,
31,P      ,15,16,6078.1,1.8,9/2+              ,22 FS 10                 ,3844.6,0.1,E2        ,3.3,1.6,          ,                
31,P      ,15,16,4592.5,1,3/2+              ,12 FS 4                  ,3326.1,        ,M1+E2     ,4,3,,
31,P      ,15,16,3295,0.2,5/2+              ,88 FS 10                 ,2028.8,0.2,M1+E2     ,4.1,0.6,,
31,P      ,15,16,1266.13,0.12,3/2+              ,0.523 PS 0.018           ,1266.1,0.1,M1+E2     ,4.2,0.6,,
31,P      ,15,16,6452.7,1,11/2+             ,23 FS 10                 ,1819.6,0.6,[E2]      ,4.9,2.3,          ,                
31,P      ,15,16,5891.9,2,9/2+              ,23 FS 6                  ,3658.2,0.5,E2        ,5.4,1.5,          ,                
31,P      ,15,16,2233.6,0.1,5/2+              ,269 FS 18                ,2233.6,0.1,E2        ,6.4,0.5,          ,                
31,P      ,15,16,7442.3,0.3,11/2+             ,10 FS LE                 ,4027.5,0.5,E2        ,7.6,                ,          ,                
31,P      ,15,16,3414.6,0.3,7/2+              ,219 FS 17                ,2148.4,0.1,E2        ,9.5,0.8,          ,                
31,P      ,15,16,6452.7,1,11/2+             ,23 FS 10                 ,3039.2,0.4,E2        ,14,7,          ,                
31,P      ,15,16,4634.2,0.8,7/2+              ,68 FS 10                 ,1339.6,0.3,M1+E2     ,14,4,,
31,P      ,15,16,4634.2,0.8,7/2+              ,68 FS 10                 ,1219.4,0.1,M1+E2     ,18,7,,
31,P      ,15,16,3295,0.2,5/2+              ,88 FS 10                 ,1061.6,0.2,M1+E2     ,25,7,,
31,P      ,15,16,5530,1.5,"(5/2,7/2)+        ",11 FS 5                  ,2115.3,        ,M1+E2     ,35,25,,
31,P      ,15,16,5530,1.5,"(5/2,7/2)+        ",11 FS 5                  ,2115.3,        ,M1+E2     ,35,25,,
32,P      ,15,17,3797.3,0.4,(3+)              ,49 FS 26                 ,3717.8,0.7,M1+E2     ,0.16,+0.21-0.16      ,,
32,P      ,15,17,2177.2,0.2,3+                ,53 FS 10                 ,2099,0.3,M1+E2     ,0.7,0.4,,
32,P      ,15,17,3149.3,0.3,4+                ,345 FS 25                ,971.7,1.4,M1+E2     ,0.8,0.6,,
32,P      ,15,17,2217.79,0.11,2+                ,166 FS 17                ,2217.7,0.12,M1+E2     ,1,0.7,,
32,P      ,15,17,2657.53,0.09,2+                ,8.3 FS 2.8               ,2657.41,0.1,M1+E2     ,1.6,0.8,,
32,P      ,15,17,3004.6,0.8,3+                ,60 FS 3                  ,827.3,0.9,M1+E2     ,1.9,+5.5-1.9        ,,
32,P      ,15,17,4743.3,0.4,5+                ,                         ,2565.9,0.5,(E2+M3)   ,2.4,0.8,          ,                
32,P      ,15,17,1149.39,0.03,1+                ,183 FS 12                ,1071.31,0.04,M1+E2     ,3,3,,
32,P      ,15,17,3004.6,0.8,3+                ,60 FS 3                  ,1681.7,0.9,M1+E2     ,3.8,1.1,,
32,P      ,15,17,1755,0.1,3+                ,430 FS 28                ,432.15,0.11,M1+E2     ,4,+7-4            ,,
32,P      ,15,17,1755,0.1,3+                ,430 FS 28                ,1676.89,0.11,M1+E2     ,6,0.9,,
32,P      ,15,17,3149.3,0.3,4+                ,345 FS 25                ,1393.9,1.4,M1+E2     ,6.6,0.6,,
32,P      ,15,17,2217.79,0.11,2+                ,166 FS 17                ,894.93,0.12,M1+E2     ,23,6,,
33,P      ,15,18,4048.4,0.5,5/2+              ,62 FS 21                 ,4048,        ,[E2]      ,0.07,0.05,          ,                
33,P      ,15,18,4048.4,0.5,5/2+              ,62 FS 21                 ,2616.5,0.8,M1+E2     ,0.29,0.16,,
33,P      ,15,18,3490.6,0.3,5/2+              ,58 FS 12                 ,2058.8,0.4,(M1+E2)   ,0.5,+0.6-0.4        ,,
33,P      ,15,18,2538.6,0.3,3/2+              ,35 FS 7                  ,2538.5,0.5,(M1+E2)   ,0.5,0.4,,
33,P      ,15,18,4193.4,1.2,5/2+              ,104 FS 35                ,4193.5,2.5,[E2]      ,0.64,0.22,          ,                
33,P      ,15,18,1431.7,0.2,3/2+              ,0.43 PS 0.07             ,1431.7,0.2,M1+E2     ,10,4,,
34,P      ,15,19,1607.77,0.2,1+                ,0.52 PS +0.45-0.14       ,1607.7,0.5,M1+E2     ,0.09,0.09,,
34,P      ,15,19,1607.77,0.2,1+                ,0.52 PS +0.45-0.14       ,1178.63,0.19,(M1+E2)   ,24,+16-24          ,,
31,S      ,16,15,1248.87,0.09,3/2+              ,0.50 PS 0.12             ,1248.86,0.1,M1+E2     ,7,2,,
31,S      ,16,15,2234.29,0.14,5/2+              ,222 FS 55                ,2234.2,0.2,E2        ,7.8,2.2,          ,                
32,S      ,16,16,7115.3,1,2+                ,1.73 FS 0.35             ,4884.2,        ,M1+E2     ,2,0.5,,
32,S      ,16,16,6851.5,1.5,4+                ,66 FS 17                 ,2570.8,        ,E2        ,8,3,          ,                
32,S      ,16,16,3778.4,1,0+                ,0.89 PS 0.09             ,1548.8,1.5,[E2]      ,11.8,1.2,          ,                
32,S      ,16,16,4459.1,0.8,4+                ,124 FS 27                ,2229.4,1.2,E2        ,14,3,          ,                
33,S      ,16,17,4095.09,0.17,7/2+              ,31 FS 8                  ,4096,0.5,E2        ,0.09,0.04,          ,                
33,S      ,16,17,3934.73,0.06,3/2+              ,24 FS 7                  ,3935,0.5,(M1+E2)   ,0.1,0.09,,
33,S      ,16,17,3831.6,0.3,5/2+              ,30 FS 8                  ,3831.9,0.9,(M1+E2)   ,0.25,0.09,,
33,S      ,16,17,2313.399,0.014,3/2+              ,109 FS 17                ,2313.34,0.07,M1+E2     ,0.26,0.13,,
33,S      ,16,17,2867.626,0.02,5/2+              ,10.8 FS 3.5              ,2867.47,0.04,M1+E2     ,0.6,0.5,,
33,S      ,16,17,3934.73,0.06,3/2+              ,24 FS 7                  ,3093.7,0.3,[M1+E2]   ,1,0.4,,
33,S      ,16,17,2313.399,0.014,3/2+              ,109 FS 17                ,1472.411,0.013,M1+E2     ,1.2,+2-1.2          ,,
33,S      ,16,17,4095.09,0.17,7/2+              ,31 FS 8                  ,2127.7,0.2,(M1+E2)   ,1.5,0.6,,
33,S      ,16,17,4048.56,0.08,9/2+              ,211 FS 53                ,1079.2,0.1,(M1+E2)   ,2.6,1,,
33,S      ,16,17,2867.626,0.02,5/2+              ,10.8 FS 3.5              ,2026.6,        ,E2        ,3.6,1.3,          ,                
33,S      ,16,17,840.982,0.012,1/2+              ,1.15 PS 0.12             ,840.974,0.014,M1+E2     ,6,4,,
33,S      ,16,17,1967.19,0.03,5/2+              ,94 FS 14                 ,1967.2,0.06,M1+E2     ,8,3,,
33,S      ,16,17,1967.19,0.03,5/2+              ,94 FS 14                 ,1126,0.6,E2        ,37,8,          ,                
34,S      ,16,18,4876.839,0.024,3+                ,40 FS 15                 ,2749.24,0.05,M1+E2     ,0.09,0.06,,
34,S      ,16,18,5380.99,0.04,1+                ,49 FS LT                 ,3253.21,0.06,M1+E2     ,0.22,                ,,
34,S      ,16,18,4889.756,0.022,2+                ,29 FS 10                 ,4889.3,0.08,E2        ,0.35,0.13,          ,                
34,S      ,16,18,4114.813,0.023,2+                ,73 FS 6                  ,4114.52,0.04,E2        ,0.57,0.09,          ,                
34,S      ,16,18,3304.212,0.013,2+                ,136 FS 7                 ,3304.031,0.02,E2        ,0.75,0.04,          ,                
34,S      ,16,18,4876.839,0.024,3+                ,40 FS 15                 ,1572.57,0.05,M1+E2     ,0.8,0.8,,
34,S      ,16,18,4114.813,0.023,2+                ,73 FS 6                  ,1987.19,0.03,M1+E2     ,2.3,0.6,,
34,S      ,16,18,3304.212,0.013,2+                ,136 FS 7                 ,1176.65,0.02,M1+E2     ,3.8,1,,
34,S      ,16,18,3916.408,0.021,0+                ,1.12 PS 0.09             ,1788.794,0.02,E2        ,4.2,0.7,          ,                
34,S      ,16,18,2127.564,0.013,2+                ,318 FS 8                 ,2127.499,0.02,E2        ,6.24,0.16,          ,                
34,S      ,16,18,4688.98,0.05,4+                ,88 FS 4                  ,2561.36,0.05,E2        ,8.2,1.4,          ,                
34,S      ,16,18,6251.22,0.19,4+                ,0.42 PS +0.49-0.21       ,1374.34,0.2,M1+E2     ,12,+8-12           ,,
34,S      ,16,18,4074.667,0.014,1+                ,17 FS LT                 ,1947.06,0.02,M1+E2     ,26,                ,,
36,S      ,16,20,3290.9,0.3,2+                ,83 FS 7                  ,3290.8,0.6,E2        ,2.83,0.24,          ,                
33,CL     ,17,16,3816.3,0.3,5/2+              ,                         ,3816.1,0.3,M1+E2     ,0.23,                ,,
33,CL     ,17,16,4112.27,0.2,3/2+              ,3 KEV LT                 ,3280,50,M1+E2     ,0.3,                ,,
33,CL     ,17,16,3816.3,0.3,5/2+              ,                         ,1829.9,        ,M1+E2     ,0.9,                ,,
33,CL     ,17,16,3971.2,0.2,3/2+              ,5 KEV 3                  ,3970.9,0.2,M1+E2     ,1,                ,,
33,CL     ,17,16,2839,0.3,5/2+              ,3 FS 1                   ,2839,0.3,M1+E2     ,1.6,0.9,,
33,CL     ,17,16,2352,0.3,3/2+              ,70 FS 20                 ,2351.9,0.3,M1+E2     ,2.9,1.1,,
33,CL     ,17,16,3816.3,0.3,5/2+              ,                         ,1464.3,        ,M1+E2     ,3.3,                ,,
33,CL     ,17,16,2839,0.3,5/2+              ,3 FS 1                   ,2028.4,        ,[E2]      ,9,5,          ,                
33,CL     ,17,16,1986.3,0.3,5/2+              ,55 FS 11                 ,1986.5,0.4,M1+E2     ,11,3,,
33,CL     ,17,16,2352,0.3,3/2+              ,70 FS 20                 ,1541.5,0.5,M1+E2     ,16,7,,
33,CL     ,17,16,2975.4,0.3,7/2+              ,60 FS 14                 ,989.1,        ,M1+E2     ,21,9,,
33,CL     ,17,16,3816.3,0.3,5/2+              ,                         ,977.3,        ,M1+E2     ,42,                ,,
34,CL     ,17,17,4824.2,0.1,5+                ,0.32 PS 0.1              ,2643.5,0.5,E2        ,0.06,0.03,          ,                
34,CL     ,17,17,4824.2,0.1,5+                ,0.32 PS 0.1              ,4677.4,0.2,E2        ,0.08,0.03,          ,                
34,CL     ,17,17,1230.26,0.04,2+                ,13.6 PS 0.9              ,1083.88,0.1,M1+E2     ,1,0.5,,
34,CL     ,17,17,1887.14,0.05,2+                ,1.2 PS 0.5               ,1740.74,0.1,M1+E2     ,1,0.7,,
34,CL     ,17,17,1230.26,0.04,2+                ,13.6 PS 0.9              ,564.68,0.06,M1+E2     ,2.9,2.2,,
34,CL     ,17,17,1230.26,0.04,2+                ,13.6 PS 0.9              ,769.25,0.07,M1+E2     ,5.3,1.9,,
34,CL     ,17,17,1887.14,0.05,2+                ,1.2 PS 0.5               ,1426.1,0.1,M1+E2     ,5.4,2.3,,
34,CL     ,17,17,2376.5,0.4,4+                ,150 FS 17                ,2230.1,0.4,(M1+E2)   ,6.3,1.6,,
34,CL     ,17,17,2376.5,0.4,4+                ,150 FS 17                ,1146.3,        ,E2        ,20,16,          ,                
34,CL     ,17,17,5314.93,0.17,7+                ,65 PS 8                  ,490.8,0.2,E2        ,35,5,          ,                
35,CL     ,17,18,3002.3,0.13,5/2+              ,21 FS 4                  ,3002.4,0.4,M1+E2     ,0.09,0.05,,
35,CL     ,17,18,4111.98,0.24,7/2+              ,49 FS 11                 ,2348.8,        ,M1+E2     ,0.27,0.1,,
35,CL     ,17,18,3918.49,0.17,3/2+              ,4.9 FS 1.4               ,3918.4,0.6,M1+E2     ,0.63,0.22,,
35,CL     ,17,18,4111.98,0.24,7/2+              ,49 FS 11                 ,4111.7,        ,E2        ,0.72,0.18,          ,                
35,CL     ,17,18,2693.75,0.08,3/2+              ,33 FS 6                  ,2693.6,0.1,M1+E2     ,0.83,0.2,,
35,CL     ,17,18,1219.29,0.11,1/2+              ,126 FS 14                ,1219.3,0.2,M1+E2     ,2.7,0.5,,
35,CL     ,17,18,2645.74,0.08,7/2+              ,159 FS 21                ,2645.7,0.3,E2        ,3.7,0.5,          ,                
35,CL     ,17,18,2693.75,0.08,3/2+              ,33 FS 6                  ,930.9,0.2,M1+E2     ,4,3,,
35,CL     ,17,18,2645.74,0.08,7/2+              ,159 FS 21                ,882.84,0.1,M1+E2     ,4.4,2,,
35,CL     ,17,18,3943.82,0.25,9/2+              ,205 FS 35                ,1297.4,1.5,M1+E2     ,6.9,2.3,,
35,CL     ,17,18,3002.3,0.13,5/2+              ,21 FS 4                  ,1782.9,        ,E2        ,7,3,          ,                
35,CL     ,17,18,3943.82,0.25,9/2+              ,205 FS 35                ,2180,1,[E2]      ,7.1,1.3,          ,                
35,CL     ,17,18,2693.75,0.08,3/2+              ,33 FS 6                  ,1474.8,0.3,M1+E2     ,8,4,,
35,CL     ,17,18,1763.04,0.07,5/2+              ,0.39 PS 0.04             ,1763.13,0.1,M1+E2     ,11.2,1.2,,
36,CL     ,17,19,2676.44,0.007,"1+,(2+)           ",21 FS 3                  ,2676.323,0.017,M1+E2     ,0.06,+0.23-0.06      ,,
36,CL     ,17,19,2676.44,0.007,"1+,(2+)           ",21 FS 3                  ,2676.323,0.017,M1+E2     ,0.06,+0.23-0.06      ,,
36,CL     ,17,19,1164.8799,0.0009,1+                ,6.9 PS 0.4               ,1164.86,0.005,M1+E2     ,0.5,0.18,,
36,CL     ,17,19,2492.3035,0.0022,2+                ,40 FS 9                  ,1327.396,0.004,M1+E2     ,3,+5-3            ,,
36,CL     ,17,19,788.4328,0.0004,3+                ,14.7 PS 1                ,788.4236,0.0004,M1+E2     ,10,4,,
36,CL     ,17,19,2492.3035,0.0022,2+                ,40 FS 9                  ,532.904,0.004,M1+E2     ,3700,                ,,
37,CL     ,17,20,4016.27,0.09,3/2+              ,0.11 PS 0.04             ,4016,        ,M1+E2     ,0.042,0.023,,
37,CL     ,17,20,4016.27,0.09,3/2+              ,0.11 PS 0.04             ,2289.6,        ,M1+E2     ,0.08,+0.1-0.08       ,,
37,CL     ,17,20,4801.21,0.11,5/2+              ,7 FS LT                  ,4800.9,        ,M1+E2     ,0.19,                ,,
37,CL     ,17,20,8812.18,0.18,17/2+             ,0.38 PS 0.11             ,1791.6,0.3,M1+E2     ,0.3,0.3,,
37,CL     ,17,20,5490.68,0.11,5/2+              ,15 FS 6                  ,1782.8,        ,M1+E2     ,0.7,+0.9-0.7        ,,
37,CL     ,17,20,1726.58,0.04,1/2+              ,0.13 PS 0.02             ,1726.4,0.2,M1+E2     ,2.3,0.5,,
37,CL     ,17,20,3086.12,0.07,5/2+              ,37 FS 8                  ,3086.2,0.2,M1+E2     ,2.6,0.6,,
37,CL     ,17,20,3707.79,0.09,3/2+              ,44 FS 14                 ,1981.2,        ,M1+E2     ,5,3,,
37,CL     ,17,20,4016.27,0.09,3/2+              ,0.11 PS 0.04             ,930,        ,M1+E2     ,12,10,,
32,AR     ,18,14,1867,8,2+                ,0.46 PS 0.12             ,1867,8,[E2]      ,8.9,2.3,          ,                
34,AR     ,18,16,3287.7,0.5,2+                ,194 FS 35                ,3286,4,[E2]      ,0.1,0.07,          ,                
34,AR     ,18,16,3287.7,0.5,2+                ,194 FS 35                ,1196.6,0.4,M1+E2     ,2.4,2,,
34,AR     ,18,16,2091.1,0.3,2+                ,319 FS 42                ,2091.1,0.3,E2        ,6.8,0.9,          ,                
34,AR     ,18,16,3873,3,0+                ,187 FS GT                ,1782,3,[E2]      ,21,                ,          ,                
36,AR     ,18,18,6356,0.6,4+                ,0.31 PS 0.1              ,4385.3,        ,E2        ,0.07,0.03,          ,                
36,AR     ,18,18,7139.6,0.4,3+                ,69 FS 35                 ,2699.4,        ,M1+E2     ,0.29,0.17,,
36,AR     ,18,18,4440.11,0.19,2+                ,76 FS 14                 ,4439.8,        ,E2        ,0.39,0.08,          ,                
36,AR     ,18,18,7767,0.4,6+                ,76 FS 11                 ,3352.5,0.8,E2        ,0.75,0.12,          ,                
36,AR     ,18,18,4440.11,0.19,2+                ,76 FS 14                 ,2469.6,        ,M1+E2     ,2.3,                ,,
36,AR     ,18,18,1970.38,0.05,2+                ,328 FS 20                ,1970.3,        ,E2        ,8.2,0.5,          ,                
36,AR     ,18,18,4414.4,0.16,4+                ,76 FS 10                 ,2443.9,        ,E2        ,12,1.6,          ,                
37,AR     ,18,19,3601.8,0.4,3/2+              ,23 FS 5                  ,3601.7,0.4,M1+E2     ,0.24,0.11,,
37,AR     ,18,19,6150.45,0.24,13/2+             ,3.1 PS 0.3               ,937.19,0.18,M1+E2     ,0.28,0.08,,
37,AR     ,18,19,3170,0.5,5/2+              ,56 FS 5                  ,3169.9,0.5,M1+E2     ,0.73,0.23,,
37,AR     ,18,19,2796.15,0.08,5/2+              ,14 FS 4                  ,2796.04,0.22,M1+E2     ,0.79,0.25,,
37,AR     ,18,19,4283.87,0.25,7/2+              ,28 FS 14                 ,1488.1,0.3,M1+E2     ,1,+1.4-1          ,,
37,AR     ,18,19,3937.1,0.4,3/2+              ,17 FS 10                 ,3936.8,0.6,M1+E2     ,1.1,0.9,,
37,AR     ,18,19,4624.4,0.5,7/2+              ,6.9 FS LT                ,4624,1,E2        ,1.9,                ,          ,                
37,AR     ,18,19,2217,0.23,7/2+              ,283 FS 22                ,2217.1,0.3,E2        ,4.6,0.5,          ,                
37,AR     ,18,19,4743.4,1,7/2+              ,6.9 FS LT                ,4743.1,1,E2        ,4.7,                ,          ,                
37,AR     ,18,19,3937.1,0.4,3/2+              ,17 FS 10                 ,2527.2,0.4,M1+E2     ,6,4,,
37,AR     ,18,19,6473.28,0.24,15/2+             ,4.9 PS 0.7               ,322.8,0.08,M1+E2     ,9,7,,
38,AR     ,18,20,6276.1,0.4,4+                ,81 FS 35                 ,4108.4,        ,[E2]      ,0.36,+0.42-0.15      ,          ,                
38,AR     ,18,20,9339.2,0.4,8+                ,73 FS 17                 ,2931,1,[E2]      ,0.8,+0.5-0.3        ,          ,                
38,AR     ,18,20,5349.4,0.3,4+                ,0.14 PS 0.04             ,3182.2,0.7,E2        ,1,+0.5-0.3        ,          ,                
38,AR     ,18,20,3376.9,0.3,0+                ,22.8 PS 1.5              ,1209.4,0.3,E2        ,1.26,0.08,          ,                
38,AR     ,18,20,3936.5,0.4,2+                ,43 FS 5                  ,3936.1,0.5,[E2]      ,1.71,+0.24-0.19      ,          ,                
38,AR     ,18,20,6408.32,0.1,6+                ,1.0 PS 0.3               ,1058,1,[E2]      ,1.8,+1.2-0.6        ,          ,                
38,AR     ,18,20,6276.1,0.4,4+                ,81 FS 35                 ,2339.5,        ,[E2]      ,1.9,+2.8-1          ,          ,                
38,AR     ,18,20,5594.6,0.6,2+                ,60 FS 18                 ,2217.6,        ,[E2]      ,3.3,+2.6-1.3        ,          ,                
38,AR     ,18,20,2167.472,0.012,2+                ,0.458 PS 0.021           ,2167.405,0.012,E2        ,3.4,0.16,          ,                
38,AR     ,18,20,6053.2,0.4,(4+)              ,71 FS 14                 ,2116,1,[E2]      ,5.5,+2.7-1.7        ,          ,                
38,AR     ,18,20,9339.2,0.4,8+                ,73 FS 17                 ,1848,1,[E2]      ,5.6,+3.3-2          ,          ,                
38,AR     ,18,20,8077.2,0.22,7+                ,0.11 PS 0.03             ,1669,0.3,M1+E2     ,17,+15-8           ,,
38,AR     ,18,20,9339.2,0.4,8+                ,73 FS 17                 ,2051.3,0.6,E2        ,20,+8-5            ,          ,                
38,AR     ,18,20,6053.2,0.4,(4+)              ,71 FS 14                 ,1488,1,[E2]      ,25,+13-8           ,          ,                
38,AR     ,18,20,5349.4,0.3,4+                ,0.14 PS 0.04             ,784,1,[E2]      ,27,+35-18          ,          ,                
38,AR     ,18,20,5349.4,0.3,4+                ,0.14 PS 0.04             ,1413.1,0.4,[E2]      ,28,+16-9           ,          ,                
38,AR     ,18,20,7288.32,0.24,6+                ,27 FS 13                 ,1236,1,[E2]      ,33,+53-18          ,          ,                
38,AR     ,18,20,7288.32,0.24,6+                ,27 FS 13                 ,1939.4,0.7,E2        ,70,+7E+1-3E+1      ,          ,                
38,AR     ,18,20,4709.3,1,0+                ,1.7 PS +2.1-0.7          ,772.8,0.9,[E2]      ,160,+1.1E+2-0.9E+2  ,          ,                
37,K      ,19,18,2750.22,0.08,5/2+              ,1.4 FS 0.3               ,2750.1,        ,M1+E2     ,2.8,0.9,,
38,K      ,19,19,1697.65,0.25,1+                ,48 FS 10                 ,1698,        ,[E2]      ,0.09,+0.08-0.06      ,          ,                
38,K      ,19,19,2401.12,0.19,2+                ,52 FS 15                 ,1942.5,0.1,M1+E2     ,0.28,+0.26-0.13      ,,
38,K      ,19,19,2401.12,0.19,2+                ,52 FS 15                 ,2270.5,0.9,[E2]      ,1.8,+1.4-0.8        ,          ,                
38,K      ,19,19,458.53,0.16,1+                ,7.0 PS 0.6               ,458.6,0.3,[E2]      ,5.2,+1.5-1.2        ,          ,                
39,K      ,19,20,3938.9,0.5,3/2+              ,73 FS 14                 ,3938.3,1,M1+E2     ,0.6,+0.5-0.4        ,,
39,K      ,19,20,4930.3,0.4,3/2+              ,21 FS 9                  ,4931.4,1.2,M1+E2     ,0.6,+0.8-0.4        ,,
39,K      ,19,20,4514.3,1.3,5/2+              ,19 FS 7                  ,4514,1.4,M1+E2     ,1,+0.9-0.5        ,,
39,K      ,19,20,4930.3,0.4,3/2+              ,21 FS 9                  ,2407.4,0.3,M1+E2     ,2.7,                ,,
39,K      ,19,20,3938.9,0.5,3/2+              ,73 FS 14                 ,1416.2,0.4,M1+E2     ,3.8,+3-1.9          ,,
39,K      ,19,20,7776.31,0.22,17/2+             ,1.0 PS 0.3               ,1301.18,0.11,M1+E2     ,3.9,+4-2.2          ,,
39,K      ,19,20,2522.75,0.25,1/2+              ,63 FS 6                  ,2522.4,0.3,M1+E2     ,5.2,+1.5-1.2        ,,
39,K      ,19,20,7776.31,0.22,17/2+             ,1.0 PS 0.3               ,1341.7,0.4,E2        ,8.9,+4.7-2.3        ,          ,                
40,CA     ,20,20,7976.55,0.03,2+                ,21 FS 21                 ,4624,        ,[E2]      ,0.24,                ,          ,                
40,CA     ,20,20,7466.35,0.07,2+                ,8 FS 4                   ,4113.5,        ,[E2]      ,0.9,+1.2-0.4        ,          ,                
40,CA     ,20,20,7976.55,0.03,2+                ,21 FS 21                 ,2699,        ,[E2]      ,1.2,                ,          ,                
40,CA     ,20,20,5248.79,0.05,2+                ,83 FS +11-9              ,1896.1,        ,(E2)      ,1.5,+0.6-0.4        ,          ,                
40,CA     ,20,20,7300.67,0.11,0+                ,118 FS 35                ,1671.3,        ,[E2]      ,1.8,+1.8-1          ,          ,                
40,CA     ,20,20,3904.38,0.03,2+                ,35 FS 7                  ,3903.9,0.1,E2        ,2.2,+0.6-0.4        ,          ,                
40,CA     ,20,20,8100.1,0.7,8+                ,12.5 PS 1.7              ,1168.8,0.3,E2        ,2.6,+0.4-0.3        ,          ,                
40,CA     ,20,20,5629.41,0.06,2+                ,40 FS 15                 ,2277,1,[E2]      ,3.3,+2.3-1.1        ,          ,                
40,CA     ,20,20,6507.87,0.13,4+                ,128 FS 21                ,2603.2,0.3,E2        ,3.7,+1.1-0.8        ,          ,                
40,CA     ,20,20,7561.17,0.07,4+                ,0.17 PS 0.04             ,2312.1,1,[E2]      ,3.9,+1.7-1.1        ,          ,                
40,CA     ,20,20,7676.6,0.5,(6+)              ,0.20 PS 0.05             ,2399.2,0.5,(E2)      ,4.4,+1.5-0.9        ,          ,                
40,CA     ,20,20,7300.67,0.11,0+                ,118 FS 35                ,2050.3,0.5,[E2]      ,16,+8-4            ,          ,                
40,CA     ,20,20,5211.56,0.17,0+                ,1.02 PS 0.21             ,1307.7,0.3,[E2]      ,17,+4-3            ,          ,                
40,CA     ,20,20,6930.2,0.3,6+                ,0.34 PS +0.09-0.17       ,1651.8,0.4,E2        ,17,+17-4           ,          ,                
40,CA     ,20,20,6542.8,0.09,4+                ,121 FS 21                ,1294,        ,(E2)      ,22,+10-7           ,          ,                
40,CA     ,20,20,6507.87,0.13,4+                ,128 FS 21                ,1259,        ,[E2]      ,24,+13-9           ,          ,                
40,CA     ,20,20,5248.79,0.05,2+                ,83 FS +11-9              ,1344.4,0.3,M1+E2     ,25,+8-6            ,,
40,CA     ,20,20,3904.38,0.03,2+                ,35 FS 7                  ,551.8,        ,[E2]      ,49,                ,          ,                
40,CA     ,20,20,5278.8,0.06,4+                ,0.21 PS 0.04             ,1374,0.3,E2        ,67,+17-12          ,          ,                
40,CA     ,20,20,6542.8,0.09,4+                ,121 FS 21                ,913.3,        ,E2        ,170,+0.7E+2-0.5E+2  ,          ,                
