A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),M Gamma,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Nucleus,Jf,twoJf,ni,nf,Include
16,O,8,8,9844.5,5,2,0.62 KEV 10,2927.1,8,[M1],0.0042,8,4,16O,2,4,2,1,True
18,O,8,10,3920.44,14,2,18.4 FS 20,1938.0,,M1,0.14,2,4,18O,2,4,2,1,True
18,O,8,10,5254.8,9,2,7.0 FS 3,1334.0,,M1,0.111,8,4,18O,2,4,3,2,True
18,O,8,10,7116.9,12,4,17 FS LT,3562.0,,M1,0.071,16,8,18O,4,8,2,1,True
18,O,8,10,8213.0,4,2,1.0 KEV 8,4293.0,,M1,0.0072,30,4,18O,2,4,4,2,True
19,O,8,11,96.0,5,3/2,1.39 NS 5,96.0,,M1,0.088,38,3,19O,5/2,5,1,1,True
19,O,8,11,1471.7,4,1/2,0.88 PS 12,1375.7,,M1,0.0093,15,1,19O,3/2,3,1,1,True
18,F,9,9,1700.81,18,1,662 FS 19,659.0,,M1,0.0805,27,2,18F,0,0,2,1,True
18,F,9,9,1700.81,18,1,662 FS 19,1701.0,,M1,0.002,11,2,18F,1,2,2,1,True
18,F,9,9,3061.84,18,2,0.83 FS LT,2125.0,,M1,2.0,GT,4,18F,3,6,2,1,True
18,F,9,9,3358.2,10,3,0.30 PS 2,835.0,,M1,0.0074,37,6,18F,2,4,2,1,True
18,F,9,9,3358.2,10,3,0.30 PS 2,2421.0,,M1,0.00047,17,6,18F,3,6,2,1,True
18,F,9,9,3839.17,22,2,13.2 FS 19,2902.0,,M1,0.006,12,4,18F,3,6,3,1,True
18,F,9,9,3839.17,22,2,13.2 FS 19,2138.0,,M1,0.0049,2,4,18F,1,2,3,2,True
18,F,9,9,3839.17,22,2,13.2 FS 19,777.0,,M1,1.7,3,4,18F,2,4,3,2,True
18,F,9,9,4115.9,25,3,63 FS 15,1054.0,,M1,0.28,7,6,18F,2,4,3,2,True
18,F,9,9,4360.15,26,1,19 FS 7,1298.0,,M1,0.5,2,2,18F,2,4,4,2,True
18,F,9,9,5297.6,15,4,21 FS 3,646.0,,M1,0.019,9,8,18F,4,8,2,1,True
18,F,9,9,6163.2,9,3,14.0 KEV 5,3640.0,,M1,0.052,17,6,18F,2,4,4,1,True
18,F,9,9,6163.2,9,3,14.0 KEV 5,3101.0,,M1,0.019,10,6,18F,2,4,4,2,True
18,F,9,9,6163.2,9,3,14.0 KEV 5,2324.0,,M1,0.91,23,6,18F,2,4,4,3,True
18,F,9,9,6163.2,9,3,14.0 KEV 5,2047.0,,M1,0.078,33,6,18F,3,6,4,3,True
18,F,9,9,6283.2,9,2,10.0 KEV 5,2925.0,,M1,0.078,27,4,18F,3,6,5,2,True
18,F,9,9,6283.2,9,2,10.0 KEV 5,2559.0,,M1,0.071,34,4,18F,1,2,5,3,True
18,F,9,9,6283.2,9,2,10.0 KEV 5,2444.0,,M1,0.91,29,4,18F,2,4,5,3,True
18,F,9,9,6283.2,9,2,10.0 KEV 5,4582.0,,M1,0.05,15,4,18F,1,2,5,2,True
18,F,9,9,6283.2,9,2,10.0 KEV 5,2167.0,,M1,0.33,11,4,18F,3,6,5,3,True
18,F,9,9,6283.2,9,2,10.0 KEV 5,3760.0,,M1,0.0048,34,4,18F,2,4,5,1,True
18,F,9,9,6283.2,9,2,10.0 KEV 5,1923.0,,M1,0.06,5,4,18F,1,2,5,4,True
18,F,9,9,6310.5,8,3,0.95 KEV 14,2195.0,,M1,0.018,14,6,18F,3,6,5,3,True
18,F,9,9,6310.5,8,3,0.95 KEV 14,1347.0,,M1,0.62,20,6,18F,2,4,5,4,True
18,F,9,9,6310.5,8,3,0.95 KEV 14,3249.0,,M1,0.14,3,6,18F,2,4,5,2,True
18,F,9,9,6385.5,17,2,0.49 KEV 9,2270.0,,M1,0.041,20,4,18F,3,6,6,3,True
18,F,9,9,6385.5,17,2,0.49 KEV 9,4685.0,,M1,0.014,7,4,18F,1,2,6,2,True
18,F,9,9,6484.9,15,3,0.40 KEV 10,3423.0,,M1,0.019,7,6,18F,2,4,6,2,True
18,F,9,9,6484.9,15,3,0.40 KEV 10,2646.0,,M1,0.017,6,6,18F,2,4,6,3,True
18,F,9,9,6484.9,15,3,0.40 KEV 10,1521.0,,M1,0.02,2,6,18F,2,4,6,4,True
18,F,9,9,6484.9,15,3,0.40 KEV 10,3962.0,,M1,0.0023,15,6,18F,2,4,6,1,True
18,F,9,9,6567.0,15,5,0.56 KEV 13,1269.0,,M1,0.014,5,10,18F,4,8,2,2,True
19,F,9,10,1554.038,9,3/2,3.5 FS 21,1554.0,,M1,0.043,25,3,19F,1/2,1,1,1,True
19,F,9,10,1554.038,9,3/2,3.5 FS 21,1356.9,,M1,2.3,14,3,19F,5/2,5,1,1,True
19,F,9,10,3908.17,20,3/2,6 FS 3,2354.1,,M1,0.056,33,3,19F,3/2,3,2,1,True
19,F,9,10,3908.17,20,3/2,6 FS 3,3908.2,,M1,0.12,7,3,19F,1/2,1,2,1,True
19,F,9,10,3908.17,20,3/2,6 FS 3,3711.0,,M1,0.0096,53,3,19F,5/2,5,2,1,True
19,F,9,10,5500.7,17,3/2,4 KEV 1,3946.7,,M1,0.18,0.0,3,19F,3/2,3,3,1,True
19,F,9,10,6070.0,1,7/2,1.2 KEV,3290.0,,M1,0.19,7,7,19F,9/2,9,3,1,True
19,F,9,10,6070.0,1,7/2,1.2 KEV,1692.0,,M1,0.25,10,7,19F,7/2,7,3,1,True
19,F,9,10,6282.0,2,5/2,2.4 KEV,4728.0,,M1,0.022,5,5,19F,3/2,3,5,1,True
19,F,9,10,6330.0,2,7/2,2.4 KEV,1952.0,,M1,0.22,6,7,19F,7/2,7,4,1,True
19,F,9,10,6500.0,9,11/2,2.4 EV GT,3720.2,,M1,0.19,0.0,11,19F,9/2,9,1,1,True
19,F,9,10,6500.0,9,11/2,2.4 EV GT,1852.0,,M1,1.3,0.0,11,19F,13/2,13,1,1,True
19,F,9,10,6592.0,2,9/2,7.6 EV 18,3812.0,,M1,0.35,7,9,19F,9/2,9,2,1,True
19,F,9,10,6592.0,2,9/2,7.6 EV 18,2214.0,,M1,0.35,7,9,19F,7/2,7,2,1,True
19,F,9,10,7539.6,9,5/2,0.16 KEV 5,3161.9,,M1,2.3,5,5,19F,7/2,7,7,1,True
19,F,9,10,7660.6,9,3/2,2.2 EV 7,3110.7,,M1,0.15,5,3,19F,5/2,5,7,2,True
19,F,9,10,8137.7,12,1/2,0.3 KEV LE,1883.0,,M1,0.28,0.0,1,19F,1/2,1,6,4,True
19,F,9,10,8137.7,12,1/2,0.3 KEV LE,4229.5,,M1,0.44,0.0,1,19F,3/2,3,6,2,True
19,F,9,10,8137.7,12,1/2,0.3 KEV LE,2200.0,,M1,0.58,0.0,1,19F,1/2,1,6,3,True
19,F,9,10,8310.0,12,5/2,0.047 KEV 19,3932.0,,M1,0.22,5,5,19F,7/2,7,10,1,True
20,F,9,11,656.02,3,3,305 FS 21,656.0,3,[M1+E2],0.252,17,6,20F,2,4,1,1,True
20,F,9,11,822.73,3,4,55 PS 4,166.78,5,[M1],0.0572,48,8,20F,3,6,1,1,True
20,F,9,11,1056.848,4,1,5.1 FS 11,1056.78,3,[M1],3.59,78,2,20F,2,4,1,1,True
20,F,9,11,2043.98,3,2,2.7 FS 5,2043.89,6,[M1],0.071,14,4,20F,2,4,2,1,True
20,F,9,11,2043.98,3,2,2.7 FS 5,1387.9,3,[M1],2.8,5,4,20F,3,6,2,1,True
20,F,9,11,2194.3,3,3,2.9 FS 8,1371.53,4,[M1],1.52,45,6,20F,4,8,2,1,True
20,F,9,11,2194.3,3,3,2.9 FS 8,2194.16,3,[M1],0.34,10,6,20F,2,4,2,1,True
20,F,9,11,2966.11,3,3,3.6 FS 8,2309.96,6,[M1],0.059,14,6,20F,3,6,3,1,True
20,F,9,11,2966.11,3,3,3.6 FS 8,2143.26,3,[M1],0.357,76,6,20F,4,8,3,1,True
20,F,9,11,2966.11,3,3,3.6 FS 8,771.71,10,[M1],0.31,10,6,20F,3,6,3,2,True
20,F,9,11,2966.11,3,3,3.6 FS 8,2965.9,9,[M1],0.063,14,6,20F,2,4,3,1,True
20,F,9,11,3488.41,3,1,8.1 FS 5,3488.13,4,[M1],0.0458,32,2,20F,2,4,3,1,True
20,F,9,11,3488.41,3,1,8.1 FS 5,2431.43,99,[M1],0.0132,55,2,20F,1,2,3,1,True
20,F,9,11,3526.31,4,0,3.8 FS 4,2469.34,4,[M1],0.378,41,0,20F,1,2,1,1,True
21,F,9,12,1730.4,6,3/2,0.05 PS 4,1450.5,2,[M1],0.026,21,3,21F,1/2,1,1,1,True
21,F,9,12,1730.4,6,3/2,0.05 PS 4,1730.28,8,[M1],0.07,6,3,21F,5/2,5,1,1,True
22,F,9,13,709.1,3,2,57 FS 28,637.4,2,[M1],1.5,8,4,22F,3,6,2,1,True
18,Ne,10,8,3616.4,6,2,44 FS +21-14,1729.0,,M1,0.088,38,4,18Ne,2,4,2,1,True
19,Ne,10,9,1536.0,4,3/2,19 FS 8,1297.7,,M1,0.5,28,3,19Ne,5/2,5,1,1,True
21,Ne,10,11,350.727,8,5/2,7.13 PS 14,350.725,8,M1+E2,0.0712,14,5,21Ne,3/2,3,1,1,True
21,Ne,10,11,1745.91,19,7/2,52 FS 4,1395.131,17,M1+E2,0.146,12,7,21Ne,5/2,5,1,1,True
21,Ne,10,11,2794.17,3,1/2,5.5 FS 7,2793.94,5,M1,0.184,24,1,21Ne,3/2,3,1,1,True
21,Ne,10,11,3735.59,14,5/2,10 FS LT,3735.2,2,M1+E2,0.034,>,5,21Ne,3/2,3,2,1,True
21,Ne,10,11,3735.59,14,5/2,10 FS LT,3384.6,2,M1+E2,0.0046,>,5,21Ne,5/2,5,2,1,True
21,Ne,10,11,4433.3,7,11/2,22 FS 3,1567.2,10,M1+E2,0.2,4,11,21Ne,9/2,9,1,1,True
21,Ne,10,11,4684.53,15,3/2,11 FS 3,4333.35,25,M1,0.015,5,3,21Ne,5/2,5,2,1,True
21,Ne,10,11,4684.53,15,3/2,11 FS 3,1890.4,3,(M1),0.0069,22,3,21Ne,1/2,1,2,1,True
21,Ne,10,11,6267.0,16,9/2,24 FS 12,3400.1,16,M1+E2,0.016,9,9,21Ne,9/2,9,2,1,True
21,Ne,10,11,6448.3,10,13/2,14 FS LT,2015.0,3,M1+E2,0.14,>,13,21Ne,11/2,11,1,1,True
22,Ne,10,12,4456.2,9,2,3.7 FS 25,3181.4,,M1+E2,0.18,12,4,22Ne,2,4,2,1,True
22,Ne,10,12,5329.6,13,1,1.2 FS 3,4054.6,,M1+E2,0.02,11,2,22Ne,2,4,1,1,True
22,Ne,10,12,5363.4,11,2,69 FS 12,4088.4,,M1+E2,0.0039,8,4,22Ne,2,4,3,1,True
22,Ne,10,12,5523.3,6,4,21 FS 3,2166.1,5,M1,0.102,15,8,22Ne,4,8,2,1,True
22,Ne,10,12,6119.9,16,2,14 FS 7,1663.6,,M1+E2,0.012,8,4,22Ne,2,4,4,2,True
22,Ne,10,12,6345.1,10,4,13 FS 3,2987.7,9,M1+E2,0.043,12,8,22Ne,4,8,3,1,True
22,Ne,10,12,6819.4,16,2,3 FS LT,2363.1,,M1+E2,0.021,>,4,22Ne,2,4,5,2,True
22,Ne,10,12,7341.1,11,0,3 FS LT,2011.4,,(M1),0.51,>,0,22Ne,1,2,4,1,True
21,Na,11,10,331.9,10,5/2,7.08 PS 8,331.91,10,M1+E2,0.0845,10,5,21Na,3/2,3,1,1,True
21,Na,11,10,1716.1,3,7/2,37 FS 8,1384.1,3,M1+E2,0.2,5,7,21Na,5/2,5,1,1,True
21,Na,11,10,3544.3,4,5/2,15.5 EV 14,3544.0,6,M1+E2,15.39,5,5,21Na,3/2,3,2,1,True
22,Na,11,11,657.0,14,0,19.6 PS 7,73.9,1,M1,2.77,10,0,22Na,1,2,1,1,True
22,Na,11,11,890.89,20,4,10.0 PS 3,890.87,20,M1+E2,0.00028,5,8,22Na,3,6,1,1,True
22,Na,11,11,1528.1,3,5,3.42 PS 24,637.5,20,M1+E2,0.0002,7,10,22Na,4,8,1,1,True
22,Na,11,11,2968.6,6,3,32 FS 4,1016.8,5,M1,0.65,9,6,22Na,2,4,3,1,True
22,Na,11,11,3059.4,6,2,23 FS 3,2476.2,3,M1+E2,0.0018,7,4,22Na,1,2,2,1,True
22,Na,11,11,3059.4,6,2,23 FS 3,1107.6,5,M1,0.68,9,4,22Na,2,4,2,1,True
22,Na,11,11,4071.4,6,4,0.7 FS LT,2088.2,5,M1,3.0,>,8,22Na,3,6,2,2,True
22,Na,11,11,4319.0,5,1,17 FS 10,3662.0,,M1,0.026,16,2,22Na,0,0,4,1,True
22,Na,11,11,4360.0,4,2,5.0 FS 14,2408.1,3,M1,0.24,7,4,22Na,2,4,3,1,True
22,Na,11,11,4710.0,4,5,37 FS 14,638.6,,M1,1.0,4,10,22Na,4,8,3,2,True
22,Na,11,11,4770.0,2,3,5.9 PS 14,2818.0,,M1,0.00017,4,6,22Na,2,4,4,1,True
22,Na,11,11,5062.5,4,2,14 FS LT,3110.6,4,M1,0.052,>,4,22Na,2,4,4,1,True
22,Na,11,11,5100.4,13,4,38 FS 12,4209.1,,M1+E2,0.00086,<,8,22Na,4,8,3,1,True
22,Na,11,11,5100.4,13,4,38 FS 12,1029.0,,[M1],0.2,7,8,22Na,4,8,3,2,True
23,Na,11,12,440.2,4,5/2,1.14 PS 7,440.5,6,M1+E2,0.225,14,5,23Na,3/2,3,1,1,True
23,Na,11,12,2703.8,5,9/2,88 FS 7,627.4,6,M1+E2,0.38,3,9,23Na,7/2,7,1,1,True
23,Na,11,12,2982.0,5,3/2,3.3 FS 4,591.0,1,[M1],0.1,4,3,23Na,1/2,1,2,1,True
23,Na,11,12,2982.0,5,3/2,3.3 FS 4,2981.7,8,M1,0.147,18,3,23Na,3/2,3,2,1,True
23,Na,11,12,3914.6,4,5/2,6.9 FS 14,1838.0,1,M1,0.046,10,5,23Na,7/2,7,2,1,True
23,Na,11,12,4429.63,16,1/2,0.21 FS 2,4429.2,,M1,1.1,12,1,23Na,3/2,3,2,1,True
23,Na,11,12,4429.63,16,1/2,0.21 FS 2,2038.6,,[M1],1.11,12,1,23Na,1/2,1,2,1,True
23,Na,11,12,4775.2,5,7/2,1.4 FS LT,4335.0,1,M1+E2,0.1,>,7,23Na,5/2,5,2,1,True
23,Na,11,12,4775.2,5,7/2,1.4 FS LT,2699.0,1,M1,0.2,>,7,23Na,7/2,7,2,1,True
23,Na,11,12,5378.56,15,5/2,143 AS 21,3302.1,,M1+E2,0.95,16,5,23Na,7/2,7,3,1,True
23,Na,11,12,5534.2,6,11/2,10.4 FS 6,2830.0,1,M1+E2,0.07,4,11,23Na,9/2,9,1,1,True
23,Na,11,12,6115.1,6,11/2,35 FS 9,3411.0,1,M1,0.012,4,11,23Na,9/2,9,2,1,True
23,Na,11,12,6235.4,6,13/2,16 FS 8,701.0,1,(M1),0.4,3,13,23Na,11/2,11,1,1,True
24,Na,11,13,1846.012,5,2,180 FS 35,1373.763,5,M1+E2,0.0114,17,4,24Na,1,2,3,1,True
24,Na,11,13,1885.493,5,3,26 FS 5,1885.413,5,M1+E2,0.048,10,6,24Na,4,8,2,1,True
24,Na,11,13,3681.83,3,0,14 FS LT,3209.4,3,M1,0.046,>,0,24Na,1,2,1,1,True
25,Na,11,14,2202.0,10,3/2,25 FS 4,2112.5,10,M1+E2,0.0003,3,3,25Na,3/2,3,2,1,True
25,Na,11,14,2202.0,10,3/2,25 FS 4,1132.8,10,M1+E2,0.16,4,3,25Na,1/2,1,2,1,True
22,Mg,12,10,4402.0,3,2,21 FS LT,3154.7,3,(M1),0.029,>,4,22Mg,2,4,2,1,True
22,Mg,12,10,5035.4,5,2,0.07 NS LT,3788.0,5,(M1),5.1e-06,>,4,22Mg,2,4,3,1,True
23,Mg,12,11,450.7,15,5/2,1.15 PS 8,450.7,15,M1+E2,0.209,15,5,23Mg,3/2,3,1,1,True
24,Mg,12,12,4238.24,3,2,41 FS 4,2869.5,6,M1+E2,9e-06,8,4,24Mg,2,4,2,1,True
24,Mg,12,12,5235.12,4,3,61 FS 7,996.83,10,M1+E2,0.00035,17,6,24Mg,2,4,1,2,True
24,Mg,12,12,5235.12,4,3,61 FS 7,3866.19,8,M1+E2,2.1e-05,11,6,24Mg,2,4,1,1,True
25,Mg,12,13,974.756,22,3/2,10.1 PS 10,974.742,35,M1+E2,0.00113,12,3,25Mg,5/2,5,1,1,True
25,Mg,12,13,974.756,22,3/2,10.1 PS 10,389.71,35,M1+E2,0.0166,17,3,25Mg,1/2,1,1,1,True
25,Mg,12,13,1611.768,11,7/2,17 FS 3,1611.712,11,M1+E2,0.3,6,7,25Mg,5/2,5,1,1,True
25,Mg,12,13,1964.624,23,5/2,0.70 PS 6,989.865,30,M1+E2,0.0093,9,5,25Mg,3/2,3,2,1,True
25,Mg,12,13,1964.624,23,5/2,0.70 PS 6,1964.501,45,M1+E2,0.00082,11,5,25Mg,5/2,5,2,1,True
25,Mg,12,13,2737.8,3,7/2,290 FS 30,2738.0,6,M1+E2,9e-05,6,7,25Mg,5/2,5,2,1,True
25,Mg,12,13,2737.8,3,7/2,290 FS 30,773.1,7,M1+E2,0.0094,20,7,25Mg,5/2,5,2,2,True
25,Mg,12,13,2801.46,3,3/2,26 FS 3,2216.267,50,M1+E2,0.028,4,3,25Mg,1/2,1,2,1,True
25,Mg,12,13,2801.46,3,3/2,26 FS 3,2801.312,35,M1+E2,0.0055,8,3,25Mg,5/2,5,2,1,True
25,Mg,12,13,3405.06,17,9/2,7.7 FS 7,1793.1,3,M1+E2,0.4,4,9,25Mg,7/2,7,1,1,True
25,Mg,12,13,5251.63,22,11/2,15 FS 2,1192.4,6,M1+E2,0.19,3,11,25Mg,9/2,9,1,2,True
25,Mg,12,13,5251.63,22,11/2,15 FS 2,1846.4,5,M1+E2,0.058,9,11,25Mg,9/2,9,1,1,True
26,Mg,12,14,2938.33,4,2,141 FS 8,1129.61,4,M1+E2,0.096,6,4,26Mg,2,4,2,1,True
26,Mg,12,14,3941.57,4,3,0.83 PS 12,1003.25,4,M1+E2,0.0162,24,6,26Mg,2,4,1,2,True
26,Mg,12,14,3941.57,4,3,0.83 PS 12,2132.71,4,M1,0.00104,16,6,26Mg,2,4,1,1,True
26,Mg,12,14,4350.09,4,3,105 FS 28,2541.18,6,M1+E2,0.0066,18,6,26Mg,2,4,2,1,True
26,Mg,12,14,4350.09,4,3,105 FS 28,1411.72,4,M1+E2,0.033,9,6,26Mg,2,4,2,2,True
26,Mg,12,14,4835.13,5,2,28 FS 6,1896.72,5,M1,0.096,21,4,26Mg,2,4,4,2,True
26,Mg,12,14,5291.74,6,2,10 FS LT,1350.2,16,[M1],0.026,>,4,26Mg,3,6,5,1,True
26,Mg,12,14,5476.05,7,4,21 FS 6,1534.49,15,M1+E2,0.071,22,8,26Mg,3,6,3,1,True
26,Mg,12,14,5476.05,7,4,21 FS 6,1157.23,6,M1+E2,0.34,10,8,26Mg,4,8,3,1,True
26,Mg,12,14,5715.91,8,4,53 FS 16,1774.0,9,M1+E2,0.017,5,8,26Mg,3,6,4,1,True
26,Mg,12,14,5715.91,8,4,53 FS 16,1365.54,20,M1+E2,0.036,10,8,26Mg,3,6,4,2,True
26,Mg,12,14,6125.47,5,3,14 FS 6,1775.31,5,[M1],0.2,9,6,26Mg,3,6,3,2,True
26,Mg,12,14,6622.94,14,4,19 FS 5,1146.9,,[M1],0.063,18,8,26Mg,4,8,5,3,True
26,Mg,12,14,6978.3,8,5,14 FS 5,2076.8,,M1+E2,0.01,7,10,26Mg,4,8,1,2,True
26,Mg,12,14,6978.3,8,5,14 FS 5,1501.8,10,M1+E2,0.22,9,10,26Mg,4,8,1,3,True
26,Mg,12,14,7396.0,10,5,14 FS LE,1680.0,10,(M1+E2),0.16,>,10,26Mg,4,8,2,4,True
26,Mg,12,14,9111.2,5,6,11 FS LE,1715.0,,[M1],0.032,>,12,26Mg,5,10,3,2,True
26,Mg,12,14,9989.0,1,6,7 FS LE,3011.0,,(M1+E2),0.078,>,12,26Mg,5,10,5,1,True
26,Mg,12,14,9989.0,1,6,7 FS LE,1517.0,,(M1+E2),0.15,>,12,26Mg,6,12,5,2,True
27,Mg,12,15,984.88,5,3/2,0.97 PS 24,984.88,8,M1+E2,0.023,6,3,27Mg,1/2,1,1,1,True
27,Mg,12,15,3109.73,21,7/2,71 FS 18,1169.4,25,(M1+E2),0.18,5,7,27Mg,5/2,5,1,2,True
28,Mg,12,16,4878.6,13,2,0.08 PS LT,3404.9,13,M1+E2,0.0046,>,4,28Mg,2,4,3,1,True
31,Mg,12,19,50.1,2,3/2,16 NS 3,50.2,2,[M1],0.0106,21,3,31Mg,1/2,1,1,1,True
